#HSFID	HSFTAG	Desig	JTAG	Ship	LDate	EDate	Dur	Crew	Callsign	Station	Program	Project	OrbID	DS	SSF
# Updated 2021 Dec 20 03:48:53
HB0001	MR2	1961-S31	R04473	MR-2	1961 Jan 31 1654:51	1961 Jan 31 1711:20	    0:00:16:29	   1	MR2	-	NASA	Mercury	-	   0	   0
H00001	V1	1961 MU	S00103	Vostok	1961 Apr 12 0607:00	1961 Apr 12 0747	    0:01:40 	   1	(Kedr)	-	RU	Vostok	ORB1	   0	   0
H00002	MR3	1961-S135	R04746	Freedom Seven	1961 May  5 1434:13	1961 May  5 1449:35	    0:00:15:22	   1	MR3	-	NASA	Mercury	SO1	   0	   0
H00003	MR4	1961-S216	R04947	Liberty Bell Seven	1961 Jul 21 1220:01	1961 Jul 21 1235:38	    0:00:15:37	   1	MR4	-	NASA	Mercury	SO2	   0	   0
H00004	V2	1961 TAU	S00168	Vostok-2	1961 Aug  6 0600	1961 Aug  7 0715	    1:01:14 	   1	(Oryol)	-	RU	Vostok	ORB2	   0	   0
HB0002	MA5	1961 A IOT	S00208	MA-5	1961 Nov 29 1507:57	1961 Nov 29 1828:56	    0:03:20:59	   1	MA5	-	NASA	Mercury	-	   0	   0
H00005	MA6	1962 GAM	S00240	Friendship Seven	1962 Feb 20 1447:39	1962 Feb 20 1943:02	    0:04:55:23	   1	MA6	-	NASA	Mercury	ORB3	   0	   0
H00006	MA7	1962 TAU	S00295	Aurora Seven	1962 May 24 1245:16	1962 May 24 1741:21	    0:04:56:05	   1	MA7	-	NASA	Mercury	ORB4	   0	   0
HA0001	X3A11	1962-A108	L09185	X-15-3	1962 Jul 10	1962 Jul 10	    0	   1	3-A-11	-	X-15	X-15	-	   0	   0
HA0002	X3A12	1962-A109	L09189	X-15-3	1962 Jul 11	1962 Jul 11	    0	   1	3-A-12	-	X-15	X-15	-	   0	   0
HA0003	X3A13	1962-A112	L09199	X-15-3	1962 Jul 16	1962 Jul 16	    0	   1	3-A-13	-	X-15	X-15	-	   0	   0
H00007	X30714	1962-S244	R06186	X-15-3	1962 Jul 17 1731:10	1962 Jul 17 1741:31	    0:00:10:21	   1	3-7-14	-	X-15	X-15	SO3	   0	   0
H00008	V3	1962 A MU	S00363	Vostok-3	1962 Aug 11 0830	1962 Aug 15 0644	    3:22:14 	   1	(Sokol)	-	RU	Vostok	ORB5	   0	   0
H00009	V4	1962 A NU	S00365	Vostok-4	1962 Aug 12 0802:17	1962 Aug 15 0651	    2:22:48 	   1	(Berkut)	-	RU	Vostok	ORB6	   0	   0
H00010	MA8	1962 B DEL	S00433	Sigma Seven	1962 Oct  3 1215:11	1962 Oct  3 2128:22	    0:09:13:11	   1	MA8	-	NASA	Mercury	ORB7	   0	   0
H00011	X31424	1963-S14	R07074	X-15-3	1963 Jan 17 1859:37	1963 Jan 17 1909:21	    0:00:09:44	   1	3-14-24	-	X-15	X-15	SO4	   0	   0
H00012	MA9	1963-015	S00576	Faith Seven	1963 May 15 1304:13	1963 May 16 2324:02	    1:10:19:49	   1	MA9	-	NASA	Mercury	ORB8	   0	   0
H00013	V5	1963-020	S00591	Vostok-5	1963 Jun 14 1158:58	1963 Jun 19 1059	    4:23:00 	   1	(Yastreb)	-	RU	Vostok	ORB9	   0	   0
H00014	V6	1963-023	S00595	Vostok-6	1963 Jun 16 0929:52	1963 Jun 19 0815	    2:22:45 	   1	(Chayka)	-	RU	Vostok	ORB10	   0	   0
H00015	X32031	1963-S304	R07801	X-15-3	1963 Jun 27 1756:03	1963 Jun 27 1806:31	    0:00:10:28	   1	3-20-31	-	X-15	X-15	SO5	   0	   0
H00016	X32132	1963-S344	R07917	X-15-3	1963 Jul 19 1820:05	1963 Jul 19 1831:29	    0:00:11:24	   1	3-21-32	-	X-15	X-15	SO6	   0	   0
HA0004	X3A33	1963-A117	L10581	X-15-3	1963 Aug  6	1963 Aug  6	    0	   1	3-A-33	-	X-15	X-15	-	   0	   0
HA0005	X3A34	1963-A119	L10593	X-15-3	1963 Aug 13	1963 Aug 13	    0	   1	3-A-34	-	X-15	X-15	-	   0	   0
HA0006	X3A35	1963-A120	L10598	X-15-3	1963 Aug 15	1963 Aug 15	    0	   1	3-A-35	-	X-15	X-15	-	   0	   0
H00017	X32236	1963-S401	R08068	X-15-3	1963 Aug 22 1805:57	1963 Aug 22 1817:06	    0:00:11:09	   1	3-22-36	-	X-15	X-15	SO7	   0	   0
H00018	VKH1	1964-065	S00904	Voskhod	1964 Oct 12 0730:01	1964 Oct 13 0747:04	    1:00:17:03	   3	(Rubin)	-	RU	Vostok	ORB11	   0	   0
H00019	VKH2	1965-022	S01274	Voskhod-2	1965 Mar 18 0700:00	1965 Mar 19 0902:17	    1:02:02:17	   2	(Almaz)	-	RU	Vostok	ORB12	   0	   0
H00020	GT3	1965-024	S01301	Gemini III	1965 Mar 23 1424:00	1965 Mar 23 1916:31	    0:04:52:31	   2	GT3	-	NASA	Gemini	ORB13	   0	   0
H00021	GT4	1965-043	S01390	Gemini IV	1965 Jun  3 1516:00	1965 Jun  7 1712:11	    4:01:56:11	   2	GT4	-	NASA	Gemini	ORB14	   0	   0
H00022	X34467	1965-S392	R11983	X-15-3	1965 Jun 29 1821:17	1965 Jun 29 1831:49	    0:00:10:32	   1	3-44-67	-	X-15	X-15	SO8	   0	   0
H00023	X34670	1965-S461	R12188	X-15-3	1965 Aug 10 1924:21	1965 Aug 10 1952:13	    0:00:27:52	   1	3-46-70	-	X-15	X-15	SO9	   0	   0
H00024	GT5	1965-068	S01516	Gemini V	1965 Aug 21 1400:00	1965 Aug 29 1255:14	    7:22:55:14	   2	GT5	-	NASA	Gemini	ORB15	   0	   0
H00025	X34973	1965-S519	R12403	X-15-3	1965 Sep 28 1807:37	1965 Sep 28 1819:33	    0:00:11:56	   1	3-49-73	-	X-15	X-15	SO10	   0	   0
H00026	X161101	1965-S554	R12493	X-15-1	1965 Oct 14 2046:32	1965 Oct 14 2056:00	    0:00:09:28	   1	1-61-101	-	X-15	X-15	SO11	   0	   0
H00027	GT7	1965-100	S01812	Gemini VII	1965 Dec  4 1930:04	1965 Dec 18 1405:04	   13:18:35:00	   2	GT7	-	NASA	Gemini	ORB16	   0	   0
HA0007	GT6A1	1965-A245	L80519	(Gemini VI-A)	1965 Dec 12 1454:06	1965 Dec 12 1454:07	    0:00:00:01	   2	GT6A	-	NASA	Gemini	-	   0	   0
H00028	GT6A	1965-104	S01839	Gemini VI-A	1965 Dec 15 1337:26	1965 Dec 16 1528:47	    1:01:51:21	   2	GT6A	-	NASA	Gemini	ORB17	   0	   0
H00029	GTA8	1966-020	S02105	Gemini VIII	1966 Mar 16 1641:02	1966 Mar 17 0322:28	    0:10:41:26	   2	GTA8	-	NASA	Gemini	ORB18	   0	   0
H00030	GTA9A	1966-047	S02191	Gemini IX-A	1966 Jun  3 1339:33	1966 Jun  6 1400:23	    3:00:20:50	   2	GTA9A	-	NASA	Gemini	ORB19	   0	   0
H00031	GTA10	1966-066	S02349	Gemini X	1966 Jul 18 2220:27	1966 Jul 21 2107:05	    2:22:46:38	   2	GTA10	-	NASA	Gemini	ORB20	   0	   0
H00032	GTA11	1966-081	S02415	Gemini XI	1966 Sep 12 1442:27	1966 Sep 15 1359:34	    2:23:17:07	   2	GTA11	-	NASA	Gemini	ORB21	   0	   0
H00033	X35683	1966-S579	R14819	X-15-3	1966 Nov  1 2124:12	1966 Nov  1  2134:55	    0:00:10:43	   1	3-56-83	-	X-15	X-15	SO12	   0	   0
H00034	GTA12	1966-104	S02566	Gemini XII	1966 Nov 11 2046:33	1966 Nov 15 1921:04	    3:22:34:31	   2	GTA12	-	NASA	Gemini	ORB22	   0	   0
H00035	S1	1967-037	S02759	Soyuz 1	1967 Apr 23 0035:00	1967 Apr 24 0322:52	    1:02:47:52	   1	(Rubin)	-	RU	Soyuz	ORB23	   0	   0
H00036	X36495	1967-S496	R16811	X-15-3	1967 Oct 17 1640:23	1967 Oct 17 1650:29	    0:00:10:06	   1	3-64-95	-	X-15	X-15	SO13	   0	   0
H00037	X36597	1967-S535	R16957	X-15-3	1967 Nov 15 1830:07	1967 Nov 15 1834:58	    0:00:04:51	   1	3-65-97	-	X-15	X-15	SO14	   0	   0
H00038	X179139	1968-S467	R18538	X-15-1	1968 Aug 21 1604:48	1968 Aug 21 1614:11	    0:00:09:23	   1	1-79-139	-	X-15	X-15	SO15	   0	   0
H00039	A7	1968-089	S03486	Apollo 7	1968 Oct 11 1502:45	1968 Oct 22 1111:48	   10:20:09:03	   3	Apollo 7	-	NASA	Apollo	ORB24	   0	   0
H00040	S3	1968-094	S03516	Soyuz-3	1968 Oct 26 0834:18	1968 Oct 30 0725:03	    3:22:50:45	   1	Argon	-	RU	Soyuz	ORB25	   0	   0
H00041	A8	1968-118	S03626	Apollo 8	1968 Dec 21 1251:00	1968 Dec 27 1551:42	    6:03:00:42	   3	Apollo 8	-	NASA	Apollo	ORB26	   1	   0
H00042	S4	1969-004	S03654	Soyuz-4	1969 Jan 14 0730:00	1969 Jan 17 0650:47	    2:23:20:47	   1	Amur	-	RU	Soyuz	ORB27	   0	   0
H00043	S5	1969-005	S03656	Soyuz-5	1969 Jan 15 0704:57	1969 Jan 18 0759:12	    3:00:54:15	   3	Baikal	-	RU	Soyuz	ORB28	   0	   0
H00044	A9	1969-018	S03769	Apollo 9	1969 Mar  3 1600:00	1969 Mar 13 1700:54	   10:01:00:54	   3	Gumdrop	-	NASA	Apollo	ORB29	   0	   0
H00045	A10	1969-043	S03941	Apollo 10	1969 May 18 1649:00	1969 May 26 1652:23	    8:00:03:23	   3	Charlie Brown	-	NASA	Apollo	ORB30	   2	   0
H00046	A11	1969-059	S04039	Apollo 11	1969 Jul 16 1332:00	1969 Jul 24 1650:35	    8:03:18:35	   3	Columbia	-	NASA	Apollo	ORB31	   3	   0
H00047	S6	1969-085	S04122	Soyuz-6	1969 Oct 11 1110:00	1969 Oct 16 0952:47	    4:22:42:47	   2	Antey	-	RU	Soyuz	ORB32	   0	   0
H00048	S7	1969-086	S04124	Soyuz-7	1969 Oct 12 1044:42	1969 Oct 17 0925:05	    4:22:40:23	   3	Buran	-	RU	Soyuz	ORB33	   0	   0
H00049	S8	1969-087	S04126	Soyuz-8	1969 Oct 13 1019:09	1969 Oct 18 0909:58	    4:22:50:49	   2	Granit	-	RU	Soyuz	ORB34	   0	   0
H00050	A12	1969-099	S04225	Apollo 12	1969 Nov 14 1622:00	1969 Nov 24 2058:33	   10:04:36:33	   3	Yankee Clipper	-	NASA	Apollo	ORB35	   4	   0
H00051	A13	1970-029	S04371	Apollo 13	1970 Apr 11 1913:03	1970 Apr 17 1807:41	    5:22:54:38	   3	Odyssey	-	NASA	Apollo	ORB36	   5	   0
H00052	S9	1970-041	S04407	Soyuz-9	1970 Jun  1 1900:00	1970 Jun 19 1158:55	   17:16:58:55	   2	Sokol	-	RU	Soyuz	ORB37	   0	   0
H00053	A14	1971-008	S04900	Apollo 14	1971 Jan 31 2103:02	1971 Feb  9 2104:59	    9:00:01:57	   3	Kitty Hawk	-	NASA	Apollo	ORB38	   6	   0
H00054	S10	1971-034	S05172	Soyuz-10	1971 Apr 22 2354:06	1971 Apr 24 2340:00	    1:23:45:54	   3	Granit	Salyut-1	RU	Soyuz	ORB39	   0	   1
H00055	S11	1971-053	S05283	Soyuz-11	1971 Jun  6 0455:09	1971 Jun 29 2316:52	   23:18:21:43	   3	Yantar	Salyut-1	RU	Soyuz	ORB40	   0	   2
H00056	A15	1971-063	S05351	Apollo 15	1971 Jul 26 1334:00	1971 Aug  7 2045:53	   12:07:11:53	   3	Endeavour	-	NASA	Apollo	ORB41	   7	   0
H00057	A16	1972-031	S06000	Apollo 16	1972 Apr 16 1754:00	1972 Apr 27 1945:05	   11:01:51:05	   3	Casper	-	NASA	Apollo	ORB42	   8	   0
H00058	A17	1972-096	S06300	Apollo 17	1972 Dec  7 0533:00	1972 Dec 19 1924:59	   12:13:51:59	   3	America	-	NASA	Apollo	ORB43	   9	   0
H00059	SL2	1973-032	S06655	Skylab 2	1973 May 25 1300:00	1973 Jun 22 1349:48	   28:00:49:48	   3	SL2	Skylab 1	NASA	Apollo	ORB44	   0	   3
H00060	SL3	1973-050	S06757	Skylab 3	1973 Jul 28 1110:50	1973 Sep 25 2219:54	   59:11:09:04	   3	SL3	Skylab 1	NASA	Apollo	ORB45	   0	   4
H00061	S12	1973-067	S06836	Soyuz-12	1973 Sep 27 1218:16	1973 Sep 29 1133:48	    1:23:15:32	   2	Ural	-	RU	Soyuz	ORB46	   0	   0
H00062	SL4	1973-090	S06936	Skylab 4	1973 Nov 16 1401:23	1974 Feb  8 1516:55	   84:01:15:32	   3	SL4	Skylab 1	NASA	Apollo	ORB47	   0	   5
H00063	S13	1973-103	S06982	Soyuz-13	1973 Dec 18 1155:00	1973 Dec 26 0850:35	    7:20:55:35	   2	Kavkaz	-	RU	Soyuz	ORB48	   0	   0
H00064	S14	1974-051	S07361	Soyuz-14	1974 Jul  3 1851:08	1974 Jul 19 1221:36	   15:17:30:28	   2	Berkut	Salyut 3	RU	Soyuz	ORB49	   0	   6
H00065	S15	1974-067	S07421	Soyuz-15	1974 Aug 26 1958:05	1974 Aug 28 2010:16	    2:00:12:11	   2	Dunay	Salyut 3	RU	Soyuz	ORB50	   0	   7
H00066	S16	1974-096	S07561	Soyuz-16	1974 Dec  2 0940:00	1974 Dec  8 0803:35	    5:22:23:35	   2	Buran	-	RU	Soyuz	ORB51	   0	   0
H00067	S17	1975-001	S07604	Soyuz-17	1975 Jan 10 2143:37	1975 Feb  9 1103:22	   29:13:19:45	   2	Zenit	Salyut 4	RU	Soyuz	ORB52	   0	   8
H00068	S18A	1975-F02	F00734	Soyuz	1975 Apr  5 1104:54	1975 Apr  5 1126:21	    0:00:21:27	   2	Ural	Salyut 4	RU	Soyuz	SO16	   0	   9
H00069	S18	1975-044	S07818	Soyuz-18	1975 May 24 1458:10	1975 Jul 26 1418:18	   62:23:20:08	   2	Kavkaz	Salyut 4	RU	Soyuz	ORB53	   0	  10
H00070	S19	1975-065	S08030	Soyuz-19	1975 Jul 15 1220:00	1975 Jul 21 1050:51	    5:22:30:51	   2	EPSA	-	RU	Soyuz	ORB54	   0	   0
H00071	ASTP	1975-066	S08032	Apollo ASTP	1975 Jul 15 1950:01	1975 Jul 24 2118:24	    9:01:28:23	   3	ASTP	-	NASA	Apollo	ORB55	   0	   0
H00072	S21	1976-064	S08934	Soyuz-21	1976 Jul  6 1208:45	1976 Aug 24 1832:17	   49:06:23:32	   2	Baikal	Salyut 5	RU	Soyuz	ORB56	   0	  11
H00073	S22	1976-093	S09421	Soyuz-22	1976 Sep 15 0948:30	1976 Sep 23 0740:47	    7:21:52:17	   2	Yastreb	-	RU	Soyuz	ORB57	   0	   0
H00074	S23	1976-100	S09477	Soyuz-23	1976 Oct 14 1739:18	1976 Oct 16 1745:53	    2:00:06:35	   2	Rodon	Salyut 5	RU	Soyuz	ORB58	   0	  12
H00075	S24	1977-008	S09804	Soyuz-24	1977 Feb  7 1611:50	1977 Feb 25 0937:48	   17:17:25:58	   2	Terek	Salyut 5	RU	Soyuz	ORB59	   0	  13
H00076	S25	1977-099	S10401	Soyuz-25	1977 Oct  9 0240:35	1977 Oct 11 0325:20	    2:00:44:45	   2	Photon	Salyut 6	RU	Soyuz	ORB60	   0	  14
H00077	S26	1977-113	S10506	Soyuz-26	1977 Dec 10 0118:40	1978 Jan 16 1124:58	   37:10:06:18	   2	Taimyr	Salyut 6	RU	Soyuz	ORB61	   0	  15
H00078	S27	1978-003	S10560	Soyuz-27	1978 Jan 10 1226:00	1978 Mar 16 1118:47	   64:22:52:47	   2	Pamir	Salyut 6	RU	Soyuz	ORB62	   0	  16
H00079	S28	1978-023	S10694	Soyuz-28	1978 Mar  2 1528:10	1978 Mar 10 1344:10	    7:22:16:00	   2	Zenit	Salyut 6	RU	Soyuz	ORB63	   0	  17
H00080	S29	1978-061	S10952	Soyuz-29	1978 Jun 15 2016:45	1978 Sep  3 1140:34	   79:15:23:49	   2	Photon	Salyut 6	RU	Soyuz	ORB64	   0	  18
H00081	S30	1978-065	S10968	Soyuz-30	1978 Jun 27 1527:21	1978 Jul  5 1330:20	    7:22:02:59	   2	Kavkaz	Salyut 6	RU	Soyuz	ORB65	   0	  19
H00082	S31	1978-081	S11010	Soyuz-31	1978 Aug 26 1451:30	1978 Nov  2 1104:17	   67:20:12:47	   2	Yastreb	Salyut 6	RU	Soyuz	ORB66	   0	  20
H00083	S32	1979-018	S11281	Soyuz-32	1979 Feb 25 1153:49	1979 Jun 13 1618:26	  108:04:24:37	   2	Proton	Salyut 6	RU	Soyuz	ORB67	   0	  21
