#No	Program	Categ	RoleCode	Mission	HSFID	Role	Name	Rank	Employer	Sponsor	ID	LDate	Duration	Segments
# Updated 2022 Jun 03 03:10:47
#
# Human Space Rides
#
     1	RU	M	V1/LK	Vostok	H00001	Kosmonavt	Yuriy Alekseevich Gagarin, Letchik-Mai. VVS	Letchik-Mai	VVS	TSPK	AS-00001	1961 Apr 12 0607:00	    0:01:40 	-
     2	NASA	M	MR3/PLT	Freedom Seven	H00002	Pilot	Alan Bartlett Shepard, Jr., Cdr. USN, NASA	Cdr USN	USN	NASA	AS-00002	1961 May  5 1434:13	    0:00:15:22	-
     3	NASA	M	MR4/PLT	Liberty Bell	H00003	Seven Pilot	Virgil Ivan Grissom, Capt. USAF, NASA	Capt USAF	USAF	NASA	AS-00003	1961 Jul 21 1220:01	    0:00:15:37	-
     4	RU	M	V2/LK	Vostok-2	H00004	Kosmonavt	German Stepanovich Titov, Mai VVS	Mai VVS	VVS	TSPK	AS-00004	1961 Aug  6 0600	    1:01:14 	-
     5	NASA	M	MA6/PLT	Friendship Seven	H00005	Pilot	John Herschel Glenn, Jr., Lt Col USMC, NASA	LtCol USMC	USMC	NASA	AS-00005	1962 Feb 20 1447:39	    0:04:55:23	-
     6	NASA	M	MA7/PLT	Aurora Seven	H00006	Pilot	Malcolm *Scott Carpenter, Lt Cdr USN, NASA	LtCdr USN	USN	NASA	AS-00006	1962 May 24 1245:16	    0:04:56:05	-
     7	X15	M	X30714/PLT	X-15 3-7-14	H00007	Pilot	Robert M. White, Maj. USAF	Maj. USAF	USAF	USAF	AS-00007	1962 Jul 17 1631:10	    0:00:10:21	-
     8	RU	M	V3/LK	Vostok-3	H00008	Kosmonavt	Andrian Grigorievich Nikolaev, Mai.VVS	Mai VVS	VVS	TSPK	AS-00008	1962 Aug 11 0830	    3:22:14 	-
     9	RU	M	V4/LK	Vostok-4	H00009	Kosmonavt	Pavel Romanovich Popovich, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00009	1962 Aug 12 0802:17	    2:22:48 	-
    10	NASA	M	MA8/PLT	Sigma Seven	H00010	Pilot	Walter Martin Schirra, Jr, Cdr USN, NASA	Cdr USN	USN	NASA	AS-00010	1962 Oct  3 1215:11	    0:09:13:11	-
    11	X15	C	X31424/PLT	X-15 3-14-24	H00011	Pilot	Joseph A. Walker, NASA, Capt USAAF Ret.	Capt. USAAF (Ret.)	NASA	NASA	AS-00011	1963 Jan 17 1859:37	    0:00:09:44	-
    12	NASA	M	MA9/PLT	Faith Seven	H00012	Pilot	Leroy *Gordon Cooper, Maj USAF, NASA	Maj. USAF	USAF	NASA	AS-00012	1963 May 15 1304:13	    1:10:19:49	-
    13	RU	M	V5/LK	Vostok-5	H00013	Kosmonavt	Valeriy Fyodorovich Bykovskiy, Podpol. VVS	Podpol. VVS	VVS	TSPK	AS-00013	1963 Jun 14 1158:58	    4:23:00 	-
    14	RU	M	V6/LK	Vostok-6	H00014	Kosmonavt	Valentina Vladimirovna Tereshkova, Mlad. Lt. VVS	Mlat. Lt VVS	VVS	TSPK	AS-00014	1963 Jun 16 0929:52	    2:22:45 	-
    15	X15	M	X32031/PLT	X-15 3-20-31	H00015	Pilot	Robert A. Rushworth, Maj. USAF	Maj. USAF	USAF	USAF	AS-00015	1963 Jun 27 1656:03	    0:00:10:28	-
    16	X15	C	X32132/PLT	X-15 3-21-32	H00016	Pilot	Joseph A. Walker, NASA, Capt USAAF Ret.	Capt. USAAF (Ret.)	NASA	NASA	AS-00011	1963 Jul 19 1720:05	    0:00:11:24	-
    17	X15	C	X32236/PLT	X-15 3-22-36	H00017	Pilot	Joseph A. Walker, NASA, Capt USAAF Ret.	Capt. USAAF (Ret.)	NASA	NASA	AS-00011	1963 Aug 22 1705:57	    0:00:11:09	-
    18	RU	M	VKH1/KDR	Voskhod	H00018	Komandir	Vladimir Mikhailovich Komarov, Pol. VVS	Pol. VVS	VVS	TSPK	AS-00016	1964 Oct 12 0730:01	    1:00:17:03	-
